characterId,comicId,creatorId,eventId,seriesId,storyId
1009149,82967,13970,116,31445,7
1010903,82965,13971,227,26024,8
1011266,82970,6606,314,18454,9
1010354,1689,1168,303,13379,10
1010846,15808,7470,329,13380,11
1017851,1886,4592,229,489,12
1012717,26620,3052,293,19244,14
0,291,6535,231,20293,15
1011031,2088,12958,233,28462,16
1009150,1590,3188,234,19501,17
1011198,15878,12660,322,7520,18
1011175,1749,6613,310,7521,20
1011136,1994,6919,320,29693,22
,1158,8098,235,29692,23
,428,9716,296,29812,24
,331,3178,238,29694,26
,15094,12701,330,29697,27
,376,3095,239,29695,28
,323,7646,318,29696,29
,183,7596,240,27980,30
